TransactionId,Hour,VoidsAmount,IsVoidFollowedByDrawerOpen,IsVoided,IsReturn,IsReceiptReprinted,NonScannedItems,ManualOverrideAmount,ReturnsAmount,PriceLookupTrxTotalAmount,VoidedItemsAmount,DiscountAmount,IsTrainingMode,TotalAmount,ItemCount,StoreId,BusinessDate,MaxWeightToPriceRatioItemId,IsFraud
tr85,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,28.92,11,19,09/01/2023,2.09E+11,FALSE
tr86,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,43.4,13,26,09/01/2023,2.03E+11,FALSE
tr87,15,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,52.71,18,21,09/05/2023,40480,FALSE
tr88,15,0,FALSE,FALSE,FALSE,FALSE,6,0,0,0,0,0,FALSE,19.31,13,9,09/04/2023,40870,FALSE
tr89,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,5.92,4,24,09/07/2023,2.09E+11,FALSE
tr90,12,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,7.02,6,24,09/04/2023,40870,FALSE
tr91,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,18.87,12,10,09/04/2023,2.02E+11,FALSE
tr92,16,0,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,FALSE,23,2,2,09/04/2023,,FALSE
tr93,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,8.71,5,4,09/06/2023,2.03E+11,FALSE
tr94,14,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,15.13,8,26,09/05/2023,48770,FALSE
tr95,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,10.49,7,40,09/06/2023,2.03E+11,FALSE
tr96,14,0,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,0,FALSE,36.7,17,32,09/05/2023,2.04E+11,FALSE
tr97,12,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,13.21,7,10,09/05/2023,45920,FALSE
tr98,14,0,FALSE,FALSE,FALSE,FALSE,5,0,0,0,0,0,FALSE,17.89,10,41,09/01/2023,40870,FALSE
tr99,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,10.62,8,21,09/07/2023,2.05E+11,FALSE
tr100,12,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,24.65,11,30,09/05/2023,2.04E+11,FALSE
tr101,13,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,17.28,10,6,09/06/2023,2.04E+11,FALSE
tr102,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,18.94,7,5,09/04/2023,2.07E+11,FALSE
tr103,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,14.31,8,24,09/04/2023,45920,FALSE
tr104,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,14.41,7,24,09/05/2023,2.07E+11,FALSE
tr105,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,28.1,12,21,09/07/2023,2.04E+11,FALSE
tr106,12,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,24.94,8,34,09/06/2023,2.07E+11,FALSE
tr107,13,0,FALSE,FALSE,FALSE,FALSE,4,0,0,0,0,0,FALSE,18.79,13,34,09/04/2023,40830,FALSE
tr108,13,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,44.55,14,24,09/01/2023,47220,FALSE
tr109,14,0,FALSE,FALSE,FALSE,FALSE,2,0,0,0,0,0,FALSE,36.06,16,33,09/01/2023,2.03E+11,FALSE
tr110,16,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,11.33,6,21,09/04/2023,2.04E+11,FALSE
tr111,14,0,FALSE,FALSE,FALSE,FALSE,1,0,0,0,0,0,FALSE,3.29,3,17,09/04/2023,30590,FALSE
tr112,15,0,FALSE,FALSE,FALSE,FALSE,3,0,0,0,0,0,FALSE,10.12,5,24,09/05/2023,2.04E+11,FALSE
